Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,PASS,,1,23608,944.32,23638,945.52,Player16,Player20,0.35,0.77,0.37,0.6
Away,PASS,,1,23714,948.56,23739,949.56,Player20,Player23,0.45,0.64,0.6,0.54
Away,PASS,,1,23747,949.88,23759,950.36,Player23,Player19,0.6,0.56,0.58,0.63
Away,PASS,,1,23776,951.04,23804,952.16,Player19,Player24,0.59,0.62,0.67,0.85
Away,PASS,,1,23833,953.32,23873,954.92,Player24,Player15,0.68,0.9,0.58,0.92
Away,PASS,,1,23873,954.92,23898,955.92,Player15,Player21,0.58,0.92,0.58,0.77
Away,PASS,,1,23973,958.92,24003,960.12,Player21,Player20,0.61,0.86,0.57,0.67
Away,PASS,,1,24003,960.12,24027,961.08,Player20,Player16,0.57,0.67,0.47,0.76
Away,PASS,,1,24027,961.08,24068,962.72,Player16,Player17,0.47,0.76,0.5,0.44
Away,PASS,,1,24097,963.88,24119,964.76,Player17,Player22,0.51,0.41,0.66,0.18
Away,PASS,,1,24224,968.96,24256,970.24,Player22,Player18,0.79,0.11,0.85,0.0
Away,PASS,,1,24335,973.4,24360,974.4,Player18,Player21,0.77,0.11,0.7,0.24
Away,PASS,,1,24391,975.64,24484,979.36,Player21,Player15,0.68,0.27,0.69,0.9
Away,PASS,HEAD,1,24484,979.36,24508,980.32,Player15,Player19,0.69,0.9,0.76,0.95
Away,PASS,,1,24508,980.32,24531,981.24,Player19,Player15,0.76,0.95,0.77,0.86
Away,PASS,,1,24535,981.4,24550,982.0,Player15,Player23,0.77,0.86,0.78,0.79
Away,PASS,,1,24610,984.4,24640,985.6,Player23,Player20,0.75,0.83,0.66,0.86
Away,PASS,,1,24695,987.8,24745,989.8,Player20,Player16,0.62,0.85,0.49,0.78
Away,PASS,,1,24745,989.8,24795,991.8,Player16,Player17,0.49,0.78,0.5,0.45
Away,PASS,,1,24835,993.4,24860,994.4,Player17,Player21,0.51,0.41,0.6,0.31
Away,PASS,,1,24873,994.92,24896,995.84,Player21,Player24,0.6,0.31,0.71,0.3
Away,BALL LOST,,1,24987,999.48,25020,1000.8,Player24,,0.72,0.5,0.82,0.69
Away,BALL OUT,,1,25683,1027.32,25699,1027.96,Player18,,0.33,0.06,0.31,-0.01
Away,BALL LOST,INTERCEPTION,1,26276,1051.04,26307,1052.28,Player18,,0.2,0.13,0.3,0.07
Away,BALL OUT,,1,26493,1059.72,26535,1061.4,Player15,,0.06,0.6,-0.01,0.83
Away,BALL LOST,HEAD-INTERCEPTION,1,27148,1085.92,27177,1087.08,Player20,,0.1,0.46,0.14,0.65
Away,BALL LOST,GOAL KICK-INTERCEPTION,1,27994,1119.76,28158,1126.32,Player25,,-0.01,0.4,0.61,0.75
Away,BALL LOST,INTERCEPTION,1,28237,1129.48,28245,1129.8,Player21,,0.53,0.73,0.56,0.71
Away,PASS,,1,28338,1133.52,28363,1134.52,Player19,Player21,0.56,0.9,0.54,0.88
Away,PASS,,1,28363,1134.52,28385,1135.4,Player21,Player24,0.54,0.88,0.65,0.8
Away,BALL LOST,INTERCEPTION,1,28385,1135.4,28429,1137.16,Player24,,0.65,0.8,0.72,0.7
Away,BALL LOST,,1,29780,1191.2,29827,1193.08,Player25,,0.02,0.56,0.0,0.62
Away,PASS,,1,30390,1215.6,30432,1217.28,Player25,Player16,0.08,0.58,0.18,0.75
Away,PASS,,1,30563,1222.52,30608,1224.32,Player16,Player17,0.24,0.67,0.21,0.34
Away,PASS,,1,30633,1225.32,30665,1226.6,Player17,Player18,0.21,0.33,0.31,0.08
Away,PASS,,1,30749,1229.96,30792,1231.68,Player18,Player17,0.33,0.12,0.25,0.35
Away,PASS,,1,30873,1234.92,30913,1236.52,Player17,Player15,0.3,0.48,0.35,0.91
Away,PASS,,1,30958,1238.32,30965,1238.6,Player15,Player19,0.35,0.94,0.47,1.02
Away,BALL LOST,THEFT,1,30993,1239.72,30993,1239.72,Player19,,0.44,0.98,,
Away,BALL LOST,THEFT,1,31355,1254.2,31355,1254.2,Player18,,0.24,0.26,,
Away,BALL LOST,CLEARANCE,1,32902,1316.08,33047,1321.88,Player23,,0.12,0.47,0.42,0.89
Away,PASS,,1,33526,1341.04,33551,1342.04,Player21,Player20,0.35,0.78,0.35,0.64
