Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,BALL LOST,INTERCEPTION,1,43477,1739.08,43479,1739.16,Player1,,0.97,0.13,0.99,0.15
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,44682,1787.28,44773,1790.92,Player11,,0.96,0.6,0.48,0.84
Home,PASS,,1,44800,1792.0,44842,1793.68,Player8,Player10,0.42,0.93,0.44,0.81
Home,PASS,,1,44871,1794.84,44898,1795.92,Player10,Player8,0.4,0.79,0.36,0.94
Home,BALL LOST,THEFT,1,44980,1799.2,44980,1799.2,Player8,,0.22,0.99,,
Home,PASS,,1,45290,1811.6,45310,1812.4,Player4,Player7,0.25,1.01,0.27,0.87
Home,PASS,,1,45310,1812.4,45331,1813.24,Player7,Player4,0.27,0.87,0.27,1.0
Home,PASS,,1,45331,1813.24,45388,1815.52,Player4,Player3,0.27,1.0,0.48,0.95
Home,PASS,,1,45430,1817.2,45470,1818.8,Player3,Player2,0.53,0.89,0.62,0.61
Home,PASS,,1,45501,1820.04,45566,1822.64,Player2,Player11,0.64,0.59,0.89,0.45
Home,BALL LOST,,1,45597,1823.88,45660,1826.4,Player11,,0.88,0.41,0.54,0.03
Home,PASS,,1,45766,1830.64,45791,1831.64,Player5,Player1,0.67,0.07,0.73,0.05
Home,BALL OUT,,1,45791,1831.64,45841,1833.64,Player1,,0.73,0.05,0.63,-0.02
Home,BALL LOST,INTERCEPTION,1,46342,1853.68,46353,1854.12,Player7,,0.51,0.8,0.47,0.74
Home,BALL LOST,THEFT,1,46494,1859.76,46494,1859.76,Player10,,0.23,0.69,,
Home,PASS,,1,46982,1879.28,47016,1880.64,Player9,Player5,0.61,0.13,0.65,0.24
Home,PASS,,1,47157,1886.28,47184,1887.36,Player5,Player6,0.41,0.14,0.49,0.28
Home,PASS,,1,47249,1889.96,47276,1891.04,Player6,Player9,0.47,0.24,0.4,0.05
Home,PASS,,1,47325,1893.0,47380,1895.2,Player9,Player4,0.42,0.05,0.57,0.57
Home,PASS,,1,47436,1897.44,47489,1899.56,Player4,Player8,0.52,0.63,0.36,0.94
Home,PASS,,1,47530,1901.2,47568,1902.72,Player8,Player4,0.34,0.94,0.41,0.8
Home,PASS,,1,47607,1904.28,47635,1905.4,Player4,Player8,0.4,0.79,0.33,0.96
